Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2015-02-17,127.49,128.88,126.92,127.83,63152400.00,122.91,106.74,117.93,129.11,Increasing
2015-02-18,127.63,128.78,127.45,128.72,44891700.00,123.76,107.84,118.94,130.04,Increasing
2015-02-19,128.48,129.03,128.33,128.45,37362400.00,123.50,108.89,119.89,130.88,Decreasing
2015-02-20,128.62,129.50,128.05,129.50,48948400.00,124.51,109.79,120.76,131.74,Increasing
2015-02-23,130.02,133.00,129.66,133.00,70974100.00,127.88,110.37,121.72,133.07,Increasing
2015-02-24,132.94,133.60,131.17,132.17,69228100.00,127.08,111.09,122.66,134.23,Decreasing
2015-02-25,131.56,131.60,128.15,128.79,74711700.00,123.83,113.21,123.63,134.05,Decreasing
2015-02-26,128.79,130.87,126.61,130.42,91287500.00,125.40,114.17,124.28,134.40,Increasing
